year,brand,color,carbon_fiber_body,engine_config,horsepower,torque,weight_kg,zero_to_60_s,top_speed_mph,num_doors,transmission,drivetrain,market_region,mileage,num_owners,interior_material,brake_type,tire_brand,aero_package,limited_edition,has_warranty,last_service_date,service_history,non_original_parts,model,warranty_years,damage,damage_cost,damage_type,price,id
2023,Bugatti,Orange,1,W16,1282,856,2064,2.6,222,2,manual,AWD,Middle East,18602,3,carbon_fiber,carbon-ceramic,Continental,0,0,0,2025-06-10,authorized,0,Veyron,0,0,,,3014587.17,BYhgj2qW0L
2022,Lamborghini,Green,1,V8,1039,840,1640,3.72,226,2,manual,AWD,North America,18181,1,suede,carbon-ceramic,Continental,0,1,1,2024-07-19,none,0,Sian,1,0,,,598955.81,7WOSw0j0C7
2025,Koenigsegg,Red,0,Electric,1234,497,2058,4.0,206,2,manual,RWD,Middle East,9168,1,suede,steel,Goodyear,0,0,1,2024-08-01,independent,2,Agera,1,0,,,2256673.71,UvtI18f823
2024,Lamborghini,Orange,0,W16,1120,519,1426,3.26,248,2,dual-clutch,RWD,Europe,2573,3,suede,steel,Goodyear,0,0,0,2024-08-01,authorized,0,Urus,0,1,47395.0,totaled,598797.16,p4oCPZnjas
2021,McLaren,Black,1,Hybrid,1118,692,1727,3.59,253,2,dual-clutch,AWD,North America,18973,3,leather,steel,Continental,0,0,1,2024-08-22,authorized,0,P1,1,0,,,510616.7,9XJj9fTrjU
2023,Koenigsegg,White,1,Hybrid,1408,1110,1553,3.56,267,2,dual-clutch,AWD,Asia,3283,3,carbon_fiber,steel,Michelin,0,0,0,2024-11-09,authorized,0,Jesko,0,1,36551.0,totaled,1746541.41,JdXhZYGhcn
2025,Pagani,Yellow,1,Electric,1491,400,1822,2.71,241,2,manual,AWD,Europe,9991,2,leather,carbon-ceramic,Pirelli,0,0,0,2025-04-19,authorized,0,Zonda,0,0,,,3248112.76,Fau5GEFkle
2025,Ferrari,Silver,1,V12,598,971,2224,3.15,258,2,automatic,RWD,Europe,17845,1,alcantara,steel,Bridgestone,0,0,0,2025-06-20,independent,0,Portofino,0,0,,,281635.23,hdgQxCSSbM
2021,McLaren,Yellow,1,Hybrid,816,649,2126,3.67,243,2,dual-clutch,RWD,Middle East,713,2,leather,steel,Goodyear,1,0,1,2025-06-02,authorized,0,P1,5,0,,,736125.67,tDslqAnPgb
2023,McLaren,Orange,1,V8,622,1051,2384,3.38,225,2,dual-clutch,AWD,Asia,18807,1,alcantara,carbon-ceramic,Pirelli,0,0,1,2025-03-12,independent,0,600LT,5,1,76516.0,minor,429943.58,eefq48QwEz
2024,Bugatti,Blue,0,W16,1298,548,1360,2.04,222,2,automatic,AWD,Europe,1890,1,carbon_fiber,carbon-ceramic,Goodyear,1,0,0,2025-01-06,authorized,0,Veyron,0,0,,,2819300.42,76DvW4KJYI
2020,Lamborghini,Yellow,0,V8,956,794,2070,2.67,207,2,dual-clutch,AWD,Middle East,19951,3,carbon_fiber,carbon-ceramic,Goodyear,0,1,1,2024-07-11,independent,0,Sian,4,0,,,816934.77,YeZVVPaZ7n
2023,McLaren,Red,0,V12,1021,443,2351,2.29,252,2,automatic,RWD,Middle East,5375,3,leather,carbon-ceramic,Goodyear,0,0,0,2025-01-31,independent,0,600LT,0,1,54160.0,totaled,590500.78,DM2qkPXSGg
2021,McLaren,Yellow,0,V8,1019,1097,2374,2.47,213,4,manual,RWD,Europe,15579,2,leather,steel,Continental,1,0,0,2024-12-29,authorized,0,P1,0,1,38303.0,major,273538.87,GSmhVJbdo4
2025,Pagani,Blue,0,V8,1416,1019,1643,3.81,270,2,automatic,RWD,North America,9870,2,suede,steel,Continental,0,0,0,2024-10-28,none,0,Huayra,0,1,64297.0,major,3235194.35,15AgfWknej
2024,Pagani,Green,0,V10,1216,443,1662,2.07,206,2,automatic,AWD,Europe,18531,3,alcantara,carbon-ceramic,Goodyear,0,1,1,2025-05-04,independent,0,Huayra,5,1,57047.0,minor,2717762.26,N2Kszre9Gm
2023,Koenigsegg,White,1,V8,814,477,2253,2.44,208,2,manual,AWD,Asia,9109,3,suede,steel,Goodyear,0,0,1,2024-08-02,independent,2,Regera,5,1,9543.0,major,3394744.68,hhNiUMRld2
2020,Aston Martin,Silver,0,Electric,1208,625,1672,2.62,202,2,dual-clutch,AWD,Europe,10716,1,suede,steel,Bridgestone,0,0,1,2024-12-27,authorized,2,Valhalla,1,1,83087.0,minor,282173.29,8YG4AP3WOk
2020,Aston Martin,Orange,0,W16,1209,561,1756,3.23,216,2,manual,RWD,North America,18190,1,carbon_fiber,carbon-ceramic,Pirelli,0,0,0,2025-03-30,none,0,DB11,0,0,,,565558.87,6oTLNp00pF
2022,Ferrari,White,0,V10,1543,1192,1279,3.07,243,2,dual-clutch,AWD,Middle East,15817,3,leather,steel,Pirelli,0,1,0,2024-08-01,independent,0,Portofino,0,0,,,574928.47,ZgJy8U7Rs2
2022,Aston Martin,Yellow,0,W16,1059,652,2262,2.44,245,2,dual-clutch,RWD,Asia,4051,1,carbon_fiber,steel,Michelin,0,0,1,2024-11-22,authorized,0,DB11,3,0,,,362032.13,BfvPp8Ebgi
2021,Bugatti,Black,0,W16,1468,531,1439,2.33,257,2,automatic,AWD,Asia,8751,2,leather,carbon-ceramic,Michelin,0,0,0,2025-01-13,authorized,0,Veyron,0,1,72844.0,minor,1984862.23,aDZW3HD1df
2023,Ferrari,White,0,V12,855,847,1756,2.47,227,2,manual,RWD,Asia,13640,1,carbon_fiber,steel,Michelin,1,0,1,2024-12-09,authorized,0,Portofino,2,0,,,315532.04,JpTshv505v
2023,Koenigsegg,Green,0,V12,1577,873,1789,3.01,213,2,automatic,AWD,Asia,10103,3,carbon_fiber,steel,Continental,0,0,0,2024-10-08,authorized,0,Jesko,0,1,44562.0,minor,2758756.55,ybFBUC6BfB
2025,Pagani,Yellow,1,V10,1389,1055,2339,2.54,208,2,manual,AWD,North America,3762,1,carbon_fiber,carbon-ceramic,Continental,0,0,0,2025-05-13,none,0,Huayra,0,0,,,2280520.08,4O9I6ZW0Xz
2025,Aston Martin,Silver,1,Hybrid,1292,1177,1468,3.9,225,2,manual,RWD,North America,11743,3,alcantara,steel,Bridgestone,0,1,0,2024-08-27,authorized,0,Vantage,0,1,44365.0,minor,486267.13,EByuhilhxW
2025,Lamborghini,Blue,1,V12,764,508,1534,2.93,201,2,automatic,AWD,North America,10087,1,carbon_fiber,carbon-ceramic,Continental,0,0,0,2024-07-23,none,0,Aventador,0,0,,,694998.42,k54jkAhI6N
2022,Pagani,Green,1,V12,1481,1105,1511,2.12,233,2,dual-clutch,RWD,North America,12122,2,alcantara,carbon-ceramic,Michelin,0,1,0,2024-12-14,authorized,0,Zonda,0,1,33157.0,major,2963918.63,h3zq1Hh4J6
2023,Bugatti,Yellow,0,V12,1301,434,2276,3.46,218,2,dual-clutch,AWD,Middle East,15841,2,carbon_fiber,carbon-ceramic,Goodyear,0,0,0,2024-11-01,authorized,0,Chiron,0,0,,,2707819.49,M4E9bR7KpP
2023,Pagani,Green,1,W16,542,866,2291,2.66,238,2,manual,AWD,Europe,10042,3,leather,carbon-ceramic,Michelin,0,1,0,2024-08-29,none,0,Zonda,0,1,7844.0,totaled,1867336.32,2kXrG0bGG5
2020,Bugatti,White,1,V10,1361,674,1893,3.31,212,2,dual-clutch,AWD,North America,6173,3,alcantara,carbon-ceramic,Bridgestone,1,0,0,2025-02-22,authorized,0,Chiron,0,0,,,2203906.5,yc9FW5fEqI
2022,Bugatti,Silver,0,W16,849,586,1233,2.56,204,2,automatic,RWD,Europe,18516,3,leather,carbon-ceramic,Goodyear,1,0,0,2024-07-11,independent,1,Veyron,0,0,,,2890848.13,lwwY4hgysp
2024,Bugatti,Blue,1,Electric,1411,642,1585,3.14,249,2,automatic,AWD,Asia,6932,1,leather,steel,Continental,0,0,0,2024-11-02,none,0,Veyron,0,0,,,1849395.88,hL5WUpwQWM
2022,Koenigsegg,Yellow,0,W16,500,663,1448,3.54,222,2,automatic,RWD,Middle East,17909,1,leather,carbon-ceramic,Goodyear,1,0,0,2025-02-04,none,0,Agera,0,0,,,2572341.34,3plE7T6mui
2024,Bugatti,Red,1,Electric,1083,921,2334,3.86,228,2,manual,AWD,Middle East,16712,1,alcantara,steel,Bridgestone,1,0,0,2024-11-03,none,0,Chiron,0,0,,,2829634.9,kbp4AWTixU
2020,Bugatti,Orange,1,V8,931,1077,2317,2.52,225,4,manual,AWD,Europe,2657,2,suede,carbon-ceramic,Continental,0,0,1,2024-12-30,none,0,Chiron,3,1,41170.0,totaled,3129496.41,LKSBUzE1pq
2021,Lamborghini,Blue,0,V8,552,940,2270,2.67,256,2,dual-clutch,RWD,Europe,8779,3,alcantara,carbon-ceramic,Pirelli,1,0,1,2025-05-29,independent,0,Urus,2,0,,,296153.11,toQCTLAGVS
2023,Ferrari,Red,1,Electric,1439,1182,1993,2.93,200,2,automatic,AWD,Europe,19589,1,suede,carbon-ceramic,Michelin,0,0,1,2024-09-21,authorized,0,Portofino,4,0,,,291444.01,YrY7nBFW3k
2020,McLaren,Green,1,Electric,1019,486,2051,3.85,227,4,automatic,AWD,Middle East,6833,2,alcantara,steel,Michelin,0,0,0,2024-12-15,independent,0,720S,0,0,,,329412.68,2BjXENNwW0
2023,Ferrari,Black,1,W16,646,934,2073,3.8,261,2,manual,RWD,North America,7907,3,carbon_fiber,steel,Bridgestone,0,0,0,2024-09-21,none,0,488 GTB,0,0,,,391003.94,KEE2wmO30K
2025,Bugatti,Blue,0,Electric,1128,609,1575,2.18,246,2,manual,RWD,Middle East,1598,2,suede,carbon-ceramic,Bridgestone,1,1,0,2025-05-13,independent,0,Chiron,0,1,72013.0,totaled,1865021.63,2IxhYlBIWy
2021,Lamborghini,Green,1,V10,798,445,1923,2.26,258,2,manual,AWD,North America,3851,3,carbon_fiber,steel,Michelin,0,1,1,2024-12-24,authorized,0,Aventador,5,0,,,438206.7,IXQlb7NCry
2021,Pagani,Red,0,V8,1288,866,1401,2.99,230,2,automatic,RWD,Asia,7582,1,suede,carbon-ceramic,Goodyear,0,0,0,2024-10-02,independent,0,Zonda,0,1,79798.0,totaled,1780821.25,4xdC04UA61
2020,Lamborghini,White,0,V8,1349,939,1644,2.21,269,2,automatic,RWD,North America,11009,2,alcantara,carbon-ceramic,Pirelli,0,0,0,2024-07-13,independent,0,Aventador,0,1,25278.0,minor,273991.27,CVy7kLZzL7
2021,Bugatti,White,0,Hybrid,677,425,1496,2.69,248,2,dual-clutch,AWD,Europe,7823,2,alcantara,steel,Pirelli,0,0,0,2024-08-20,authorized,0,Veyron,0,1,9946.0,major,1639057.2,wx5O0eCk4c
2024,Lamborghini,Black,1,Electric,1341,665,1692,2.3,204,2,automatic,RWD,North America,4607,2,suede,carbon-ceramic,Bridgestone,0,0,1,2024-08-27,independent,0,Urus,2,0,,,770579.02,0vHRArqMBQ
2021,Aston Martin,Orange,1,V12,1377,574,1537,3.27,230,2,dual-clutch,RWD,North America,5507,3,carbon_fiber,carbon-ceramic,Bridgestone,1,0,1,2025-04-09,independent,0,DB11,2,1,51616.0,minor,458751.31,UG7jEmZtZI
2023,Lamborghini,Blue,1,V12,1258,915,2122,3.9,236,2,dual-clutch,AWD,Middle East,5934,3,leather,steel,Goodyear,0,0,0,2024-09-06,independent,0,Aventador,0,0,,,702407.34,IbHGWjn3xh
2023,Bugatti,Blue,1,Electric,1591,710,2289,3.99,214,2,automatic,RWD,Europe,9203,2,suede,carbon-ceramic,Bridgestone,0,0,0,2025-05-08,authorized,0,Chiron,0,0,,,3381910.11,FB5rwDSNp6
2023,Koenigsegg,Blue,0,V10,944,721,1991,2.75,251,2,dual-clutch,RWD,Asia,4659,3,suede,carbon-ceramic,Pirelli,1,0,1,2025-04-27,authorized,0,Jesko,2,0,,,2795818.16,SIGpybFUz8
2023,Aston Martin,Orange,0,V12,1207,978,2161,3.2,268,2,dual-clutch,AWD,North America,4398,2,carbon_fiber,steel,Michelin,0,0,0,2025-05-29,independent,0,DB11,0,0,,,474411.79,YuxMoMBukg
2024,Lamborghini,Green,0,Hybrid,1101,534,1516,3.71,210,2,manual,AWD,Asia,6242,1,leather,steel,Pirelli,0,1,1,2024-08-29,independent,0,Sian,2,1,23141.0,major,356958.21,Nr82jS3PZg
2022,McLaren,Silver,0,Electric,644,454,2141,2.23,242,2,automatic,RWD,Europe,10796,2,suede,carbon-ceramic,Goodyear,0,0,1,2025-05-30,authorized,0,600LT,5,0,,,704181.52,BYyuJJVmZn
2025,McLaren,Silver,0,V10,774,942,1825,3.38,269,2,dual-clutch,AWD,North America,14377,2,leather,carbon-ceramic,Michelin,1,0,0,2025-05-19,authorized,0,600LT,0,1,53114.0,totaled,304729.92,FLpfjzN1EH
2020,Lamborghini,Black,0,V10,1008,985,1274,2.82,222,2,dual-clutch,RWD,Middle East,6611,3,leather,steel,Michelin,0,0,0,2025-04-10,authorized,0,Sian,0,0,,,623374.67,LeHp1iS2Eb
2023,Koenigsegg,Blue,0,W16,1252,930,2138,2.41,239,2,dual-clutch,RWD,Asia,14775,3,alcantara,steel,Pirelli,0,0,0,2024-12-11,authorized,0,Agera,0,1,37749.0,minor,3276133.51,V4FokZzsp8
2021,Pagani,Green,0,V10,976,555,1258,2.81,262,4,automatic,RWD,Middle East,6712,3,carbon_fiber,carbon-ceramic,Michelin,0,0,1,2024-08-21,none,0,Zonda,3,0,,,2669583.91,DWr3uW9wh2
2023,Bugatti,White,0,V12,1598,1067,1585,2.15,201,2,manual,RWD,Asia,18407,1,suede,steel,Michelin,1,0,1,2025-02-06,independent,1,Veyron,2,1,38586.0,major,3388816.72,tNfdyVa4fH
2021,McLaren,Red,0,V12,1165,546,1214,3.39,246,2,manual,AWD,Europe,4507,1,suede,steel,Bridgestone,0,0,1,2024-12-21,none,0,P1,1,1,17046.0,totaled,730583.79,3OjzxaBY0Q
2025,Pagani,Green,1,Electric,1067,884,1398,2.51,229,2,automatic,AWD,North America,13937,1,leather,steel,Michelin,0,0,1,2025-05-09,independent,0,Zonda,2,0,,,2857112.86,UbLrtV0CZ1
2025,Lamborghini,Orange,1,Electric,1030,998,1234,2.62,215,2,automatic,RWD,Asia,19569,3,suede,carbon-ceramic,Goodyear,0,0,1,2025-04-02,independent,0,Urus,5,0,,,425851.39,UTWUAbaV1I
2025,Pagani,Silver,1,V10,658,419,1361,2.24,258,2,automatic,AWD,Middle East,12343,2,leather,carbon-ceramic,Michelin,0,0,1,2025-05-21,authorized,0,Zonda,1,1,57402.0,totaled,2399604.86,ZHFiV3JAza
2021,Aston Martin,Silver,0,Hybrid,1180,668,2181,3.73,246,2,automatic,RWD,Asia,14035,2,suede,carbon-ceramic,Bridgestone,0,0,0,2025-02-09,independent,0,Vantage,0,0,,,624921.02,fSFvIHNOeq
2023,Ferrari,White,0,V8,522,732,1998,2.99,229,2,manual,RWD,Asia,11533,2,carbon_fiber,carbon-ceramic,Continental,0,0,0,2024-12-05,authorized,0,Roma,0,0,,,466386.12,NWybIWrn4R
2025,McLaren,White,1,W16,1570,954,2094,3.14,208,2,dual-clutch,AWD,Asia,16579,3,suede,carbon-ceramic,Continental,1,0,1,2025-03-27,independent,0,P1,5,1,33499.0,totaled,742184.88,EjWNABLteW
2024,Lamborghini,Orange,0,V8,1024,800,1670,3.14,264,2,dual-clutch,AWD,Asia,15438,3,leather,steel,Goodyear,1,0,1,2024-09-03,authorized,0,Sian,4,0,,,461341.88,TAqPMFahzL
2021,Bugatti,Red,0,V10,1228,705,1730,2.82,258,2,automatic,RWD,Asia,13968,1,leather,steel,Goodyear,0,0,0,2024-07-15,authorized,0,Chiron,0,0,,,2325200.01,WnA5MruXxO
2021,Koenigsegg,White,0,V10,643,427,1991,2.39,263,4,automatic,AWD,Asia,17490,3,suede,steel,Michelin,0,0,1,2025-05-26,authorized,0,Jesko,5,0,,,3335154.79,bIkXEzHTfQ
2023,Aston Martin,Black,0,V8,1167,866,2051,3.49,207,2,dual-clutch,RWD,Middle East,19173,2,suede,carbon-ceramic,Michelin,0,0,0,2025-07-02,none,0,Vantage,0,0,,,503318.44,8tpWzt0nIO
2021,Lamborghini,Red,0,W16,1180,659,1547,2.25,251,2,manual,AWD,Asia,10376,1,leather,carbon-ceramic,Continental,1,1,0,2024-09-23,authorized,0,Urus,0,0,,,466993.75,AXPyAav6ps
2021,Bugatti,White,0,V8,1472,933,1893,2.21,217,4,automatic,AWD,Asia,718,1,alcantara,steel,Continental,0,1,1,2025-04-30,authorized,0,Chiron,1,1,15118.0,totaled,1783556.29,Qn7uUoEZZY
2025,Koenigsegg,Yellow,1,Electric,1298,500,2134,3.42,257,2,automatic,RWD,Asia,7076,3,alcantara,steel,Pirelli,0,0,0,2025-03-02,none,0,Regera,0,1,47558.0,major,1593106.2,LB35hU4CXP
2023,Koenigsegg,Green,0,V12,584,950,2112,2.42,248,2,manual,AWD,North America,3995,1,suede,steel,Continental,1,0,0,2025-02-15,independent,0,Regera,0,0,,,3020448.99,sSCvYCSqKr
2025,Lamborghini,White,0,Hybrid,915,752,1346,2.61,231,2,manual,AWD,Europe,305,1,carbon_fiber,steel,Continental,1,0,1,2024-08-08,authorized,0,Sian,3,0,,,496729.92,3H6y5BwizS
2025,Aston Martin,Black,1,Electric,1193,699,1874,2.95,247,2,manual,RWD,Europe,8579,3,suede,carbon-ceramic,Goodyear,0,0,1,2024-11-10,authorized,0,DB11,1,0,,,397125.59,0rDC44VjPv
2023,Pagani,Blue,0,V12,981,1081,1886,2.9,244,2,automatic,RWD,Europe,8916,1,carbon_fiber,carbon-ceramic,Pirelli,0,0,1,2025-06-24,authorized,0,Huayra,3,1,27662.0,major,1593112.21,8GltihQJSW
2020,Pagani,White,0,Hybrid,955,695,2159,3.42,253,2,manual,RWD,Middle East,14177,2,suede,steel,Pirelli,0,0,1,2025-07-03,independent,0,Huayra,1,0,,,3382371.04,b9IigoD1hh
2025,Koenigsegg,Silver,1,Hybrid,1326,752,1885,3.25,245,2,automatic,RWD,Middle East,13202,3,leather,carbon-ceramic,Michelin,0,0,1,2025-04-27,independent,0,Agera,2,1,95386.0,totaled,1927175.6,k7iLDhiu3j
2024,Pagani,Silver,0,Hybrid,796,529,2326,3.29,230,2,automatic,RWD,Middle East,2596,2,suede,carbon-ceramic,Michelin,1,0,1,2025-03-14,authorized,0,Zonda,5,0,,,2385422.03,kDmi2kyiB4
2024,Ferrari,Silver,0,V10,1449,555,1320,3.43,236,2,manual,RWD,Asia,14841,2,carbon_fiber,carbon-ceramic,Pirelli,0,0,0,2025-01-13,none,1,SF90,0,0,,,419189.37,Ny1CMnxjTe
2021,Koenigsegg,Blue,0,Hybrid,1179,473,1618,2.59,215,2,dual-clutch,AWD,Europe,18819,2,carbon_fiber,carbon-ceramic,Pirelli,0,0,1,2024-09-06,authorized,0,Jesko,4,0,,,3370747.6,MzmvLvOR1E
2024,Koenigsegg,Silver,0,W16,877,741,1549,2.64,245,2,manual,RWD,Asia,15788,2,suede,steel,Michelin,1,1,0,2025-03-16,authorized,0,Jesko,0,0,,,2760915.8,n32AwiMqr9
2021,Bugatti,Yellow,0,V8,920,864,1241,2.88,245,2,dual-clutch,RWD,North America,18287,1,suede,steel,Goodyear,0,0,1,2025-02-21,none,0,Veyron,3,0,,,1855707.34,36NejLO93D
2020,Pagani,White,1,W16,604,489,1228,2.61,260,2,manual,RWD,Europe,15883,1,alcantara,carbon-ceramic,Goodyear,0,0,0,2025-03-10,authorized,0,Zonda,0,1,80527.0,minor,2400982.62,upQTeuYlcq
2023,Aston Martin,Orange,0,V8,829,978,2165,3.97,245,2,manual,AWD,North America,9896,3,suede,steel,Goodyear,0,1,0,2025-07-05,none,0,DB11,0,1,83018.0,totaled,202913.98,4UDrakwG23
2023,Koenigsegg,Silver,0,Electric,938,854,1984,3.63,250,2,automatic,RWD,North America,19767,3,suede,carbon-ceramic,Goodyear,1,0,1,2024-07-25,independent,0,Agera,3,1,44373.0,minor,3013644.13,VxJOrEiyj3
2023,Aston Martin,Red,0,Electric,881,1147,1213,2.33,261,2,automatic,RWD,Asia,13376,2,leather,steel,Michelin,0,0,1,2025-05-19,authorized,0,Vantage,2,0,,,364648.77,h8Ybqp19VI
2024,Ferrari,Orange,0,V8,637,1111,2119,2.01,234,2,automatic,AWD,Europe,14838,2,carbon_fiber,steel,Bridgestone,0,0,0,2025-03-26,authorized,0,F8 Tributo,0,0,,,471371.61,O7n8ORK56S
2020,Bugatti,Blue,1,W16,1442,731,2017,2.09,241,2,automatic,AWD,North America,12857,3,alcantara,steel,Continental,0,0,0,2025-05-22,independent,0,Veyron,0,0,,,3330311.09,hKyaLtcPP5
2024,Lamborghini,Yellow,0,V8,1342,1138,2024,2.49,244,2,automatic,RWD,Europe,1283,3,leather,steel,Continental,1,0,1,2025-01-10,none,0,Aventador,2,0,,,660952.86,uKx10RAePB
2024,Aston Martin,Red,0,Hybrid,769,747,2071,2.23,267,2,automatic,AWD,North America,14920,3,suede,steel,Continental,0,0,0,2024-08-02,authorized,0,Vantage,0,0,,,270785.67,sl9WZCB94E
2020,Koenigsegg,Red,0,V10,895,632,1494,3.07,246,4,automatic,AWD,North America,247,3,carbon_fiber,steel,Continental,0,0,0,2025-06-02,authorized,0,Jesko,0,0,,,1660491.48,lcByevQqNG
2020,Ferrari,Red,0,Electric,1412,1177,2063,3.72,229,2,dual-clutch,RWD,Asia,6642,2,suede,steel,Michelin,1,0,0,2025-01-29,authorized,0,Roma,0,1,80534.0,major,368626.37,K6hNCZaeT0
2020,McLaren,Red,0,V10,963,997,1747,3.47,223,4,dual-clutch,RWD,Europe,17365,3,suede,carbon-ceramic,Bridgestone,1,0,0,2025-06-30,independent,0,GT,0,0,,,429839.16,9eaVcRRA3H
2020,Ferrari,Orange,1,Hybrid,949,501,2260,2.43,265,4,automatic,RWD,Asia,4363,1,suede,steel,Michelin,1,1,0,2024-09-30,authorized,0,Portofino,0,1,15286.0,minor,410089.43,fATCCjV4y2
2023,Ferrari,Orange,0,Hybrid,519,880,2207,2.8,242,2,dual-clutch,AWD,Asia,13951,2,suede,carbon-ceramic,Bridgestone,0,0,1,2024-11-16,authorized,0,Portofino,1,1,48829.0,major,508416.04,07Ck73lzsa
2022,Bugatti,White,0,Electric,738,613,2237,3.02,233,2,manual,RWD,Asia,17949,1,carbon_fiber,steel,Michelin,1,0,0,2024-10-26,none,0,Veyron,0,0,,,1799584.23,N7NmBX8UZc
2022,Lamborghini,Silver,0,Electric,917,507,1834,3.62,222,2,dual-clutch,AWD,Asia,18525,3,leather,steel,Pirelli,0,0,0,2025-01-17,authorized,0,Aventador,0,1,61925.0,major,543734.24,wYbXNXO882
2020,McLaren,Green,1,Hybrid,1554,564,1794,3.68,260,2,automatic,RWD,Asia,735,1,suede,steel,Bridgestone,0,0,1,2024-08-11,authorized,0,GT,3,0,,,744613.01,5oTueTnFnK
2022,Pagani,White,0,V12,685,1002,2382,3.82,236,2,dual-clutch,AWD,North America,10851,3,suede,carbon-ceramic,Continental,0,0,1,2025-02-09,independent,0,Huayra,5,0,,,2831638.3,AgvnCjjUPY
2022,Pagani,White,1,V10,752,1103,1813,3.02,212,2,manual,RWD,Europe,14406,1,alcantara,carbon-ceramic,Bridgestone,0,0,0,2025-01-02,none,0,Huayra,0,0,,,2037027.16,l3kXXVzJAw
2020,Aston Martin,Yellow,1,V10,518,734,2306,3.39,270,2,dual-clutch,AWD,Europe,14928,2,alcantara,carbon-ceramic,Goodyear,0,1,0,2024-10-28,authorized,0,Valhalla,0,0,,,513481.72,FEuYkk6wKj
2022,Ferrari,Yellow,1,V12,1211,485,2245,2.22,206,2,automatic,RWD,Asia,16832,1,carbon_fiber,carbon-ceramic,Bridgestone,0,1,1,2024-12-30,authorized,0,SF90,1,0,,,551350.16,Lzmiw00Nsl
2024,Bugatti,Silver,0,W16,722,1133,2355,3.13,241,2,manual,RWD,Europe,7534,2,suede,carbon-ceramic,Goodyear,1,0,0,2025-04-30,authorized,0,Veyron,0,0,,,2628283.4,GlDrSKyZ7I
2021,Bugatti,Green,0,V10,502,823,1664,2.5,237,2,manual,RWD,North America,1835,1,suede,steel,Goodyear,0,0,1,2025-03-15,authorized,0,Chiron,2,1,20799.0,minor,2545518.51,m31JIyRk0e
2021,Pagani,Yellow,1,V8,1353,1012,2154,2.86,251,2,dual-clutch,AWD,Asia,4715,1,suede,carbon-ceramic,Pirelli,0,0,1,2025-06-05,independent,0,Huayra,3,1,90561.0,totaled,3291884.89,kzWMTKN8OA
2020,Aston Martin,Silver,1,Hybrid,727,1137,2129,3.27,243,2,manual,AWD,Middle East,613,2,carbon_fiber,carbon-ceramic,Bridgestone,0,1,0,2025-02-01,independent,0,Valhalla,0,0,,,394196.03,e55iHtdnop
2023,Aston Martin,Silver,1,Hybrid,1412,763,1998,2.51,263,2,manual,RWD,Middle East,876,2,carbon_fiber,carbon-ceramic,Pirelli,1,1,1,2024-11-28,independent,0,DB11,4,0,,,401511.74,EjrvmbFzkt
2020,Aston Martin,Orange,0,V12,998,459,1594,2.1,212,2,manual,AWD,North America,10767,3,suede,steel,Continental,0,0,0,2025-05-26,independent,0,DB11,0,0,,,532279.92,FjqhNgBuPc
